questionId,rq_title,rank,year,first_author,paper_title,venue,cites,doi
rq-2-5,In-space manufacturing readiness for kilometer-scale structures,2,2025,Zhang,Research on Equivalent Scale Analysis for On-Orbit Assembly of Ultra-Large Space Structures,Materials,1,10.3390/ma18245508
rq-2-5,In-space manufacturing readiness for kilometer-scale structures,3,2024,Liu,Design of Docking Interfaces for On-Orbit Assembly of Large Structures in Space,Sensors,5,10.3390/s24206534
rq-2-6,Power export interface standard,1,2024,Mahbub,"Far-Field Wireless Power Beaming to Mobile Receivers Using Distributed, Coherent Phased Arrays: A Review of the Critical Components of a Distributed Wireless Power Beaming System",IEEE Microwave Magazine,20,10.1109/mmm.2024.3363982
rq-2-6,Power export interface standard,2,2016,Xia,Application of wireless power transfer technologies and intermittent energy harvesting for wireless sensors in rotating machines,Wireless Power Transfer,14,10.1017/wpt.2016.6
rq-2-6,Power export interface standard,3,2025,Debnath,High-efficiency coil design for wireless power transfer: Mitigating misalignment challenges in transportation,Energy,12,10.1016/j.energy.2025.135929
rq-2-6,Power export interface standard,4,2024,Soleimani,High‐power radio frequency wireless energy transfer system: Comprehensive survey on design challenges,IET Wireless Sensor Systems,7,10.1049/wss2.12089
rq-2-14,Space-based silicon purity achievement,1,2025,Cheng,A comprehensive review on wafering of silicon substrate for photovoltaic solar cell,Solar Energy,8,10.1016/j.solener.2025.113977
rq-2-14,Space-based silicon purity achievement,2,2022,Huang,Purification of Metallurgical-grade Silicon by Sn-Si Solvent Refining with Different Tin Content,Silicon,5,10.1007/s12633-022-01917-y
rq-2-18,Vacuum dust/particulate control for manufacturing,1,2018,Liu,Role of vacuum on cleanliness improvement of steel during electroslag remelting,Vacuum,41,10.1016/j.vacuum.2018.05.032
rq-2-18,Vacuum dust/particulate control for manufacturing,2,2024,Zhang,Effects of refining slag basicity and vacuum treatment on the cleanliness of bearing steel,Vacuum,20,10.1016/j.vacuum.2024.112984
rq-3b-4,Planetary orbit stability during stellar acceleration,1,2015,Khodachenko,ATMOSPHERE EXPANSION AND MASS LOSS OF CLOSE-ORBIT GIANT EXOPLANETS HEATED BY STELLAR XUV. II. EFFECTS OF PLANETARY MAGNETIC FIELD; STRUCTURING OF INNER MAGNETOSPHERE,The Astrophysical Journal,111,10.1088/0004-637x/813/1/50
rq-3b-4,Planetary orbit stability during stellar acceleration,2,2013,Adams,EVOLUTION OF PLANETARY ORBITS WITH STELLAR MASS LOSS AND TIDAL DISSIPATION,The Astrophysical Journal,48,10.1088/2041-8205/777/2/l30
